"","log2FoldChange","padj","Factor"
"ko:K02872",-0.820536715731469,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02873",0.433450187951428,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02877",1.09853067795636,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02880",-0.244418307199801,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02882",-0.210957926448308,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02885",-0.623013173937914,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02889",0.0749219027369186,0.95832973730345,"Menthol_Menthol_vs_Control"
"ko:K02896",-0.142798094035715,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02898",-0.59954377898456,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02901",-0.159362412864289,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02905",0.0656339345877898,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02908",0.702584303607633,0.858091295328454,"Menthol_Menthol_vs_Control"
"ko:K02910",0.398795589669301,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02915",-0.0606043142048778,0.968235107160252,"Menthol_Menthol_vs_Control"
"ko:K02918",-0.315259699521242,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02920",-0.222124876111173,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02923",-0.449583047208472,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02924",-0.546749045120832,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02929",-0.707075170837546,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02932",-0.139074169524292,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02936",-0.433824766629554,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02937",1.01249989635297,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02938",-0.486794190073902,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02941",-0.391217103555077,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02947",-0.338942110309574,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02949",0.360841558561434,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02951",0.613106880596303,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02953",0.632245672753957,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02955",0.112266143729181,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02958",0.223629784026733,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02962",-0.424515850485427,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02966",0.414013720539101,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02969",-1.00517917709247,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02973",0.967803392322231,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02975",-0.748215897930476,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02976",-1.49566732071142,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02978",-0.597162455728685,0.657225943984336,"Menthol_Menthol_vs_Control"
"ko:K02980",-1.16397388425188,0.48439170483148,"Menthol_Menthol_vs_Control"
"ko:K02983",0.513466332492615,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02984",0.837285264722124,0.700447932082297,"Menthol_Menthol_vs_Control"
"ko:K02985",-0.304767632243938,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02987",1.24908416016603,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02991",-0.103535366691543,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02992",-0.263308332298449,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K02993",-0.77536374636335,0.25310067469396,"Menthol_Menthol_vs_Control"
"ko:K02995",-0.0212612883692956,0.993574907595452,"Menthol_Menthol_vs_Control"
"ko:K03007",-0.357159000884223,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03008",0.748974709028752,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03031",0.206453945808184,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03083",0.051054364267559,0.952779697548788,"Menthol_Menthol_vs_Control"
"ko:K03113",-0.312383491395949,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03231",0.626648221089715,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03232",-1.96246071710928,0.425895623326305,"Menthol_Menthol_vs_Control"
"ko:K03233",-0.299351980981124,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03234",0.868184277081125,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03236",-0.791118672121663,0.48626895725984,"Menthol_Menthol_vs_Control"
"ko:K03246",0.337460562620321,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03247",-0.311496503055692,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03283",-0.343473359059275,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03521",0.196253943025007,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03522",-0.76962393445794,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03626",-0.0984515400692577,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03661",-1.49026744454474,0.908181773245705,"Menthol_Menthol_vs_Control"
"ko:K03872",0.385413810871339,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03873",0.00210046132355665,0.99841623030614,"Menthol_Menthol_vs_Control"
"ko:K03936",0.293770905812085,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K03942",-0.0141149780419952,0.99841623030614,"Menthol_Menthol_vs_Control"
"ko:K03943",0.807841435161434,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04043",0.6556801207814,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04079",-0.227331525634886,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04345",0.94624251442279,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04348",1.48843276478963,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04354",-2.06881024008259,0.0273378862020662,"Menthol_Menthol_vs_Control"
"ko:K04364",-0.264106113143575,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04369",-0.982190758999049,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04370",0.203666063073056,0.945434144679215,"Menthol_Menthol_vs_Control"
"ko:K04371",-0.38735443839429,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04393",-0.636629182844716,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04444",-1.13400416949185,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04456",-0.700384718846654,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04503",-0.183230653079859,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04536",-0.637627883710659,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04552",0.169493899417105,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04567",0.0506983873877484,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K04712",0.212880374590851,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K05754",-0.128235804826101,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K05755",0.713524367050448,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K05757",0.0570477681229412,0.945222884667638,"Menthol_Menthol_vs_Control"
